genome	top_class
G000008665.part_1_100	13
G000008665.part_1_101	13
G000008665.part_1_103	13
G000008665.part_1_105	13
G000008665.part_1_106	13
G000008665.part_1_107	13
G000008665.part_1_108	13
G000008665.part_1_109	13
G000008665.part_1_10	13
G000008665.part_1_110	13
G000008665.part_1_112	13
G000008665.part_1_114	13
G000008665.part_1_115	13
G000008665.part_1_116	13
G000008665.part_1_117	13
G000008665.part_1_118	13
G000008665.part_1_119	13
G000008665.part_1_11	13
G000008665.part_1_121	13
G000008665.part_1_122	13
G000008665.part_1_124	13
G000008665.part_1_126	13
G000008665.part_1_128	13
G000008665.part_1_12	13
G000008665.part_1_131	13
G000008665.part_1_133	13
G000008665.part_1_135	13
G000008665.part_1_138	13
G000008665.part_1_139	13
G000008665.part_1_140	13
G000008665.part_1_142	13
G000008665.part_1_146	13
G000008665.part_1_149	13
G000008665.part_1_150	13
G000008665.part_1_151	13
G000008665.part_1_153	13
G000008665.part_1_156	13
G000008665.part_1_157	13
G000008665.part_1_159	13
G000008665.part_1_15	13
G000008665.part_1_160	13
G000008665.part_1_161	13
G000008665.part_1_162	13
G000008665.part_1_163	13
G000008665.part_1_166	13
G000008665.part_1_168	13
G000008665.part_1_169	13
G000008665.part_1_16	13
G000008665.part_1_170	13
G000008665.part_1_171	13
G000008665.part_1_172	13
G000008665.part_1_173	13
G000008665.part_1_174	13
G000008665.part_1_175	13
G000008665.part_1_176	13
G000008665.part_1_177	13
G000008665.part_1_178	13
G000008665.part_1_179	13
G000008665.part_1_17	13
G000008665.part_1_181	13
G000008665.part_1_182	13
G000008665.part_1_185	13
G000008665.part_1_186	13
G000008665.part_1_187	13
G000008665.part_1_189	13
G000008665.part_1_18	13
G000008665.part_1_190	13
G000008665.part_1_191	13
G000008665.part_1_194	13
G000008665.part_1_196	13
G000008665.part_1_197	13
G000008665.part_1_198	13
G000008665.part_1_199	13
G000008665.part_1_19	13
G000008665.part_1_1	13
G000008665.part_1_200	13
G000008665.part_1_201	13
G000008665.part_1_203	13
G000008665.part_1_204	13
G000008665.part_1_205	13
G000008665.part_1_208	13
G000008665.part_1_209	13
G000008665.part_1_20	13
G000008665.part_1_210	13
G000008665.part_1_211	13
G000008665.part_1_213	13
G000008665.part_1_216	13
G000008665.part_1_218	13
G000008665.part_1_219	13
G000008665.part_1_221	13
G000008665.part_1_223	13
G000008665.part_1_224	13
G000008665.part_1_226	13
G000008665.part_1_227	13
G000008665.part_1_228	13
G000008665.part_1_229	13
G000008665.part_1_22	13
G000008665.part_1_230	13
G000008665.part_1_231	13
G000008665.part_1_232	13
G000008665.part_1_233	13
G000008665.part_1_234	13
G000008665.part_1_235	13
G000008665.part_1_237	13
G000008665.part_1_238	13
G000008665.part_1_23	13
G000008665.part_1_240	13
G000008665.part_1_241	13
G000008665.part_1_244	13
G000008665.part_1_245	13
G000008665.part_1_25	13
G000008665.part_1_26	13
G000008665.part_1_28	13
G000008665.part_1_29	13
G000008665.part_1_2	13
G000008665.part_1_30	13
G000008665.part_1_31	13
G000008665.part_1_32	13
G000008665.part_1_34	13
G000008665.part_1_36	13
G000008665.part_1_37	13
G000008665.part_1_39	13
G000008665.part_1_3	13
G000008665.part_1_40	13
G000008665.part_1_41	13
G000008665.part_1_42	13
G000008665.part_1_45	13
G000008665.part_1_48	13
G000008665.part_1_4	13
G000008665.part_1_50	13
G000008665.part_1_53	13
G000008665.part_1_54	13
G000008665.part_1_56	13
G000008665.part_1_58	13
G000008665.part_1_59	13
G000008665.part_1_60	13
G000008665.part_1_61	13
G000008665.part_1_62	13
G000008665.part_1_65	13
G000008665.part_1_66	13
G000008665.part_1_67	13
G000008665.part_1_68	13
G000008665.part_1_70	13
G000008665.part_1_71	13
G000008665.part_1_72	13
G000008665.part_1_73	13
G000008665.part_1_74	13
G000008665.part_1_75	13
G000008665.part_1_76	13
G000008665.part_1_77	13
G000008665.part_1_80	13
G000008665.part_1_83	13
G000008665.part_1_84	13
G000008665.part_1_85	13
G000008665.part_1_86	13
G000008665.part_1_87	13
G000008665.part_1_88	13
G000008665.part_1_89	13
G000008665.part_1_8	13
G000008665.part_1_90	13
G000008665.part_1_91	13
G000008665.part_1_92	13
G000008665.part_1_93	13
G000008665.part_1_95	13
G000008665.part_1_98	13
G000008665.part_1_9	13
G000017265.part_1_100	7
G000017265.part_1_101	7
G000017265.part_1_103	7
G000017265.part_1_105	7
G000017265.part_1_106	7
G000017265.part_1_107	7
G000017265.part_1_108	7
G000017265.part_1_109	7
G000017265.part_1_10	7
G000017265.part_1_110	7
G000017265.part_1_112	7
G000017265.part_1_114	7
G000017265.part_1_115	7
G000017265.part_1_116	7
G000017265.part_1_117	7
G000017265.part_1_118	7
G000017265.part_1_119	7
G000017265.part_1_11	7
G000017265.part_1_121	7
G000017265.part_1_122	7
G000017265.part_1_124	7
G000017265.part_1_126	7
G000017265.part_1_128	7
G000017265.part_1_12	7
G000017265.part_1_131	7
G000017265.part_1_133	7
G000017265.part_1_135	7
G000017265.part_1_138	7
G000017265.part_1_139	7
G000017265.part_1_140	7
G000017265.part_1_142	7
G000017265.part_1_146	7
G000017265.part_1_149	7
G000017265.part_1_150	7
G000017265.part_1_151	7
G000017265.part_1_153	7
G000017265.part_1_156	7
G000017265.part_1_157	7
G000017265.part_1_159	7
G000017265.part_1_15	7
G000017265.part_1_160	7
G000017265.part_1_161	7
G000017265.part_1_162	7
G000017265.part_1_163	7
G000017265.part_1_166	7
G000017265.part_1_168	7
G000017265.part_1_169	7
G000017265.part_1_16	7
G000017265.part_1_170	7
G000017265.part_1_171	7
G000017265.part_1_172	7
G000017265.part_1_173	7
G000017265.part_1_174	7
G000017265.part_1_175	7
G000017265.part_1_176	7
G000017265.part_1_177	7
G000017265.part_1_178	7
G000017265.part_1_179	7
G000017265.part_1_17	7
G000017265.part_1_181	7
G000017265.part_1_182	7
G000017265.part_1_185	7
G000017265.part_1_186	7
G000017265.part_1_187	7
G000017265.part_1_189	7
G000017265.part_1_18	7
G000017265.part_1_190	7
G000017265.part_1_191	7
G000017265.part_1_194	7
G000017265.part_1_196	7
G000017265.part_1_197	7
G000017265.part_1_198	7
G000017265.part_1_199	7
G000017265.part_1_19	7
G000017265.part_1_1	7
G000017265.part_1_200	7
G000017265.part_1_201	7
G000017265.part_1_203	7
G000017265.part_1_204	7
G000017265.part_1_205	7
G000017265.part_1_208	7
G000017265.part_1_209	7
G000017265.part_1_20	7
G000017265.part_1_210	7
G000017265.part_1_211	7
G000017265.part_1_213	7
G000017265.part_1_216	7
G000017265.part_1_218	7
G000017265.part_1_219	7
G000017265.part_1_221	7
G000017265.part_1_223	7
G000017265.part_1_224	7
G000017265.part_1_226	7
G000017265.part_1_227	7
G000017265.part_1_228	7
G000017265.part_1_229	7
G000017265.part_1_22	7
G000017265.part_1_230	7
G000017265.part_1_231	7
G000017265.part_1_232	7
G000017265.part_1_233	7
G000017265.part_1_234	7
G000017265.part_1_235	7
G000017265.part_1_237	7
G000017265.part_1_238	7
G000017265.part_1_23	7
G000017265.part_1_240	7
G000017265.part_1_241	7
G000017265.part_1_244	7
G000017265.part_1_245	7
G000017265.part_1_246	7
G000017265.part_1_247	7
G000017265.part_1_248	7
G000017265.part_1_249	7
G000017265.part_1_250	7
G000017265.part_1_251	7
G000017265.part_1_252	7
G000017265.part_1_253	7
G000017265.part_1_255	7
G000017265.part_1_256	7
G000017265.part_1_257	7
G000017265.part_1_258	7
G000017265.part_1_259	7
G000017265.part_1_25	7
G000017265.part_1_261	7
G000017265.part_1_263	7
G000017265.part_1_264	7
G000017265.part_1_265	7
G000017265.part_1_266	7
G000017265.part_1_26	7
G000017265.part_1_271	7
G000017265.part_1_275	7
G000017265.part_1_276	7
G000017265.part_1_278	7
G000017265.part_1_280	7
G000017265.part_1_281	7
G000017265.part_1_284	7
G000017265.part_1_285	7
G000017265.part_1_286	7
G000017265.part_1_287	7
G000017265.part_1_288	7
G000017265.part_1_28	7
G000017265.part_1_290	7
G000017265.part_1_291	7
G000017265.part_1_292	7
G000017265.part_1_294	7
G000017265.part_1_295	7
G000017265.part_1_296	7
G000017265.part_1_297	7
G000017265.part_1_298	7
G000017265.part_1_299	7
G000017265.part_1_29	7
G000017265.part_1_2	7
G000017265.part_1_302	7
G000017265.part_1_304	7
G000017265.part_1_305	7
G000017265.part_1_306	7
G000017265.part_1_307	7
G000017265.part_1_308	7
G000017265.part_1_30	7
G000017265.part_1_310	7
G000017265.part_1_311	7
G000017265.part_1_312	7
G000017265.part_1_315	7
G000017265.part_1_317	7
G000017265.part_1_31	7
G000017265.part_1_320	7
G000017265.part_1_323	7
G000017265.part_1_324	7
G000017265.part_1_325	7
G000017265.part_1_327	7
G000017265.part_1_328	7
G000017265.part_1_329	7
G000017265.part_1_32	7
G000017265.part_1_331	7
G000017265.part_1_337	7
G000017265.part_1_338	7
G000017265.part_1_339	7
G000017265.part_1_340	7
G000017265.part_1_341	7
G000017265.part_1_342	7
G000017265.part_1_347	7
G000017265.part_1_348	7
G000017265.part_1_349	7
G000017265.part_1_34	7
G000017265.part_1_350	7
G000017265.part_1_351	7
G000017265.part_1_352	7
G000017265.part_1_353	7
G000017265.part_1_355	7
G000017265.part_1_357	7
G000017265.part_1_358	7
G000017265.part_1_359	7
G000017265.part_1_361	7
G000017265.part_1_363	7
G000017265.part_1_364	7
G000017265.part_1_366	7
G000017265.part_1_367	7
G000017265.part_1_368	7
G000017265.part_1_36	7
G000017265.part_1_371	7
G000017265.part_1_372	7
G000017265.part_1_375	7
G000017265.part_1_376	7
G000017265.part_1_377	7
