genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G000017265.part_1_413	7.0	0.9999996423721313	1.9027763640594108e-23	1.6309326664794982e-13	4.8602482196330164e-29	6.153519581243852e-30	8.655216987563108e-09	6.593432363402509e-15	3.756638075510406e-30	0.9999996423721313	4.1462363580735156e-19	2.706694590681735e-10	2.8670451429624322e-11	3.461428548234835e-07	4.166909286867169e-28	6.82776146732067e-09	3.633486469600128e-13
G000018945.part_1_5	14.0	0.9876313805580139	1.1358231195857105e-11	1.756595137224334e-15	2.460520009961442e-09	2.3608828433885343e-11	2.5349791710205238e-11	2.699213907941811e-10	1.0439689545238724e-15	3.6788441216961676e-12	1.3340113519041963e-12	1.9552535859921477e-13	0.011432169936597347	0.00020311125263106078	1.2662000337115842e-09	0.0007334021502174437	0.9876313805580139
G000283915.part_1_65	10.0	0.9871117472648621	8.29333177381885e-15	1.1214936757042437e-09	1.37275533163006e-08	1.756176857270475e-07	1.7219170445059717e-07	6.202996883075684e-05	0.0005292610730975866	9.227442698822585e-10	4.3206253508287773e-07	2.837863576132804e-06	0.9871117472648621	0.00022259932302404195	5.273849637887906e-06	1.1401414257150577e-09	0.012065471149981022
G000018945.part_1_100	14.0	0.9991101622581482	8.067656243580801e-13	9.694846887905919e-16	9.007875695354883e-11	5.305272704031168e-15	5.985887341353191e-10	5.0731116356395045e-12	5.1136384877366976e-17	6.010074165771484e-13	1.3060040177678527e-14	8.722184131497229e-17	1.6200878235395066e-05	0.00011278149031568319	3.2882513378851286e-10	0.0007608134765177965	0.9991101622581482
G000283915.part_1_88	6.0	0.9245645999908447	1.2636968449442065e-07	5.865833929696862e-10	0.00010023352660937235	5.027583938499447e-06	7.3176615877912354e-09	0.0004491189029067755	0.9245645999908447	8.798941166787699e-07	0.00017965886218007654	1.348665409750538e-05	0.0024124360643327236	3.1626953500563104e-07	2.255224096359143e-08	4.81553968256776e-07	0.07227357476949692
G000153405.part_1_12	8.0	0.9999120235443115	1.9734417127103025e-15	2.0908114649331733e-12	3.0430107218759606e-13	1.1690013374439294e-17	3.79395126426374e-12	3.695613020676638e-18	4.450597726995311e-22	6.794297223677859e-05	0.9999120235443115	2.005314854613971e-05	2.12109941833934e-14	2.8135233318817277e-18	1.8549553670835202e-19	1.661411633269161e-11	2.6991440724131207e-16
G000008665.part_1_192	13.0	0.996479332447052	1.2874314059274639e-08	9.576928254945096e-16	2.926676678782769e-08	1.9645217008701366e-08	6.854592271565707e-08	4.447523593853475e-08	3.2781116487967665e-07	5.407745987660341e-14	1.9807339362437615e-12	5.940371892304563e-13	9.245447740724444e-10	0.003520216327160597	2.1732336819013653e-08	0.996479332447052	5.080074316765604e-08
G000017265.part_1_98	7.0	0.8973882794380188	4.004363974576343e-18	5.933996849449841e-09	2.5898952356500362e-24	2.2912568786751395e-17	3.1981473966880003e-06	6.156162726256298e-07	1.111470229845929e-20	0.8973882794380188	1.245496900059706e-10	3.5873135857400484e-06	0.10260426998138428	8.809545093413362e-09	3.914059927165022e-21	6.67360851025478e-08	1.391044612830683e-08
G000008665.part_1_227	13.0	1.0	5.650207390042695e-17	6.123931369387068e-19	2.9425948410416035e-16	2.94901275674339e-15	3.119355440617255e-08	1.1427453427970136e-09	4.76940493324726e-15	7.303080015730323e-12	8.514565540738691e-20	2.321814419427951e-17	4.4263852999604225e-11	2.743772542501688e-09	2.5322112638605405e-14	1.0	2.779173158967696e-12
G000237805.part_1_144	14.0	0.9785909652709961	4.660573793557887e-08	0.0003586335515137762	4.422419028204949e-11	7.701237869639499e-09	0.020888574421405792	1.379810754542632e-07	1.79582125906787e-19	8.498599868289602e-07	1.6838449710121495e-06	1.0913661085965032e-09	2.508438228687737e-06	0.0001313323446083814	3.735658483938753e-12	2.5281184207415208e-05	0.9785909652709961
