genome	top_class	top_p	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
G001606005.part_1_200	4.0	0.9451538324356079	2.853353133196873e-14	0.05484621599316597	3.4110243367244065e-15	3.540656747131487e-16	0.9451538324356079	8.179310527489658e-12	1.2655279554602428e-14	4.910797071810806e-19	2.0096138432004426e-19	3.826396144379629e-10	1.9339572718740433e-16	1.1149596003401374e-11	2.906446320354097e-18	1.3351193414723461e-11	4.3287987228763074e-15
G000018945.part_1_19	14.0	0.9999974966049194	9.219181772089874e-16	3.020672257253374e-24	1.520197570381812e-19	1.8676588450395916e-18	4.351692316139807e-17	3.0127626554134073e-19	1.7481985963648104e-23	2.789380721535872e-19	3.623096577915952e-18	3.377657533731392e-22	1.7686724307353074e-10	2.3868988137110136e-06	1.1549272822819479e-11	1.0277624795662632e-07	0.9999974966049194
G000018945.part_1_194	14.0	0.9991057515144348	3.1749740969644336e-07	3.751791819158789e-18	1.2990854149352436e-17	3.35136629912621e-18	5.42466210382578e-16	1.9285875065049246e-15	1.2315731874058347e-18	3.764827987089278e-16	2.2550041994049005e-16	1.3569663691382944e-16	2.131227302015759e-05	0.000872534466907382	1.7600759960600953e-08	5.0558384145915625e-09	0.9991057515144348
G000318295.part_9_1	6.0	1.0	5.040272551166435e-19	7.117738113621784e-21	2.3581097184522376e-23	1.784163095042146e-14	8.49991011299239e-17	8.862107356938739e-17	1.0	1.8954540814065024e-21	6.044937025440934e-15	1.62367789086159e-18	1.5673018552982783e-16	3.1249824776480306e-12	1.8064531376260574e-16	1.4973897625325556e-25	1.3837308103265174e-15
G900089075.part_7_7	11.0	0.7122730612754822	4.031896150280545e-09	4.951228229493898e-12	7.512115510027696e-16	2.7594414859777316e-05	3.956788532377686e-06	1.5255309904205205e-07	0.28768566250801086	1.612567871234205e-06	5.416377007350093e-06	5.701294867321849e-07	1.9130277451040456e-06	0.7122730612754822	1.2731430354406825e-09	2.3240026569837369e-10	2.3510711155694253e-09
G000298475.part_1_45	0.0	0.6031929850578308	0.6031929850578308	3.2587038276687963e-06	2.2683623035479883e-10	8.182136213008562e-08	0.0009075536509044468	4.168891791778151e-06	7.279713463503867e-05	6.678736781395855e-07	1.037168940141997e-12	2.1903622027252823e-08	2.13507009902969e-05	0.20632413029670715	0.0010732091031968594	0.1883997619152069	2.3937236193205536e-08
G000237805.part_1_3	14.0	0.934023916721344	0.0001271114160772413	0.0004188181192148477	4.658669786294922e-05	2.809357738442486e-06	0.0037527133245021105	0.017275657504796982	1.442521657679663e-10	7.340091542573646e-05	4.709001188984985e-09	3.038641125385766e-07	0.043667759746313095	7.671916682738811e-05	7.020819793979172e-06	0.0005272243288345635	0.934023916721344
G000318295.part_65_17	6.0	0.999845027923584	6.658030429207429e-07	1.1518781588282234e-11	1.550592119980987e-11	4.883750071016379e-10	6.146652964389432e-09	5.863999286148669e-10	0.999845027923584	4.63353624276602e-17	7.717707362075998e-09	2.8706447210424813e-06	1.0362461466684181e-07	0.00015122821787372231	5.517785339748116e-09	3.5947616411347028e-12	4.196396563571625e-09
G001606005.part_1_229	1.0	0.9999978542327881	4.590102775510984e-16	0.9999978542327881	1.4327487763907132e-14	5.028740163675162e-15	2.1856631065020338e-06	3.372609830298856e-11	4.3453389072909096e-17	1.7633640812362243e-21	2.8249812987604693e-15	9.662867820726823e-17	3.721974551479379e-12	5.6133053066842464e-11	2.6277722821840854e-16	6.378744199508901e-09	2.6432840833680304e-13
G000237805.part_1_14	10.0	0.8699188828468323	5.195549893088902e-11	7.803108714732332e-10	1.2104260736084393e-13	1.0492681620484848e-13	0.026885798200964928	1.8647629985935055e-05	0.0001102772876038216	1.7640843484340724e-13	4.529951260157311e-16	8.259291028878124e-09	0.8699188828468323	0.0002093006478389725	6.363494321703911e-05	7.710883664913126e-08	0.1027933657169342
G000153405.part_1_254	8.0	0.9877668619155884	4.556224104598772e-16	8.357284984798037e-17	8.217790597314645e-13	1.335767434162971e-13	2.9210447876162372e-15	2.9793973955723543e-14	3.0646556403723935e-09	4.904284196527442e-07	0.9877668619155884	0.012232658453285694	2.682515898300153e-08	1.1681819955811079e-08	2.245808928843516e-17	1.8764779660673803e-11	1.7832838070802604e-12
G000017265.part_1_128	7.0	0.9999698400497437	8.132047674466787e-17	2.00409289163872e-09	4.171427238900023e-20	3.744971301417983e-18	2.0458481131413464e-08	3.136057635799716e-09	1.958436227588161e-14	0.9999698400497437	9.86172515177186e-13	6.202171334734885e-06	2.3766308004269376e-05	1.4646592205735942e-07	2.1469849811217657e-23	2.57363618264006e-12	6.810078889696314e-11
G000008665.part_1_166	13.0	0.9999997615814209	9.19692111096132e-14	6.287288993813481e-18	1.9147264475978185e-14	1.3051151825926866e-10	1.5938377373458934e-07	3.1471130146343285e-09	2.8209540606227712e-11	1.7307031187959593e-13	1.1465974781164532e-15	2.72421810053642e-16	1.6868568764039082e-08	3.7921048523514855e-09	1.1851264761220115e-11	0.9999997615814209	2.1821253692877463e-09
G000017265.part_1_336	7.0	0.9999995231628418	1.004602416703404e-17	1.0835371662409887e-11	2.621335943515696e-15	3.7726305667405315e-18	1.114900243237571e-07	3.313477270339149e-11	1.0257309324829267e-12	0.9999995231628418	3.1768026252133874e-13	3.5593373581832566e-07	4.201033743100879e-09	1.8040294591514794e-08	1.2463013859777745e-23	2.6783869582934147e-14	1.9993640972698363e-15
G000298475.part_1_100	11.0	0.9998635053634644	1.0200462870202376e-11	2.742440823044756e-11	1.028161333849198e-09	2.235646334725061e-09	7.1346930100024686e-12	2.7024314022128237e-06	3.508981993860516e-10	3.76620601372224e-09	1.5851464585381336e-10	1.0795084444403802e-11	1.200574388349196e-06	0.9998635053634644	0.0001304874022025615	1.9467518086457858e-06	9.834306524680869e-08
G000153405.part_1_96	10.0	0.40485164523124695	6.173472919934059e-14	1.09554240679266e-11	5.536648117754339e-08	0.056760188192129135	1.338579068033141e-06	3.927127636416117e-06	0.00011646969505818561	0.12609995901584625	0.1777016967535019	0.07965552806854248	0.40485164523124695	0.15448078513145447	2.847726221499869e-10	1.3700252566195559e-05	0.0003145605733152479
