PC1000033	12468	3768	2278	1988	4434	0	0	0	620	0	0	0
PC1000034	26531	7219	6735	5727	6850	0	0	0	2698	0	0	0
PC1000073	7064	2079	1453	1353	2179	0	0	0	412	0	0	0
PC1000081	7389	2095	1424	1589	2281	0	0	0	602	0	0	0
PC1000092	5778	1399	1373	1530	1476	0	0	0	756	0	0	0
PC100010	18315	5709	3694	3574	5338	0	0	0	1430	0	0	0
PC1000148	7027	1137	2204	2604	1082	0	0	0	1908	0	0	0
PC1000154	6001	2121	1037	913	1930	0	0	0	154	0	0	0
PC1000161	5035	1229	1091	1285	1430	0	0	0	598	0	0	0
PC1000164	60165	16690	13036	13299	17140	0	0	0	3886	0	0	0
PC1000210	5581	1296	1457	1283	1545	0	0	0	672	0	0	0
PC100022	38505	10343	7935	9227	11000	0	0	0	4044	0	0	0
PC1000258	6182	2320	824	1092	1945	1	0	0	86	0	1	0
PC100025	8409	1740	2485	2506	1678	0	0	0	1780	0	0	0
PC1000318	10029	2541	2360	1900	3228	0	0	0	598	0	0	0
PC1000325	5540	777	1999	2022	742	0	0	0	1906	0	0	0
PC1000326	8369	2671	1771	1616	2311	0	0	0	696	0	0	0
PC100034	20682	6553	4532	3668	5929	0	0	0	904	0	0	0
PC1000366	13723	3355	3149	3438	3781	0	0	0	1332	0	0	0
PC1000382	21467	4153	6714	6511	4089	0	0	0	4642	0	0	0
PC1000405	11956	3077	2667	3121	3091	0	0	0	1292	0	0	0
PC1000410	7362	2437	1243	1117	2565	0	0	0	296	0	0	0
PC1000425	18746	2676	6430	6877	2763	0	0	0	5470	0	0	0
PC1000473	6446	2021	1177	1038	2210	0	0	0	366	0	0	0
PC1000477	7986	1952	2054	1798	2182	0	0	0	1124	0	0	0
PC1000508	13887	2346	4974	4629	1938	0	0	0	3890	0	0	0
PC1000534	6060	1216	1748	2102	994	0	0	0	1416	0	0	0
PC100053	5129	986	1433	1651	1059	0	0	0	1104	0	0	0
PC1000549	5230	1776	895	1092	1467	0	0	0	338	0	0	0
PC1000566	22156	6010	4686	5230	6230	0	0	0	2392	0	0	0
PC1000645	5254	977	1688	1687	902	0	0	0	1334	0	0	0
PC1000657	8064	2305	1614	1666	2479	0	0	0	648	0	0	0
PC1000662	10237	2837	2392	2177	2831	0	0	0	1004	0	0	0
PC1000703	7783	2439	1268	1163	2913	0	0	0	350	0	0	0
PC100070	4455384	966098	1263741	1268132	957413	0	0	0	802488	0	0	0
PC1000830	11710	2162	3583	3645	2320	0	0	0	2696	0	0	0
PC1000845	6808	2343	1123	1048	2294	0	0	0	212	0	0	0
PC1000862	205113	61576	36822	43775	62940	0	0	0	16226	0	0	0
PC1000881	8660	1241	2997	3014	1408	0	0	0	2198	0	0	0
PC1000887	5275	1419	1461	1231	1164	0	0	0	686	0	0	0
PC1000900	5568	1577	1356	1145	1490	0	0	0	612	0	0	0
PC1000955	6610	927	2179	2510	994	0	0	0	1746	0	0	0
PC1000973	10971	2420	2986	3112	2453	0	0	0	1954	0	0	0
PC1001022	12029	1635	4598	4228	1568	0	0	0	3856	0	0	0
PC1001045	35417	9535	8361	7813	9708	0	0	0	2930	0	0	0
PC1001062	10147	2183	3217	2918	1829	0	0	0	2260	0	0	0
PC1001083	11060	3345	1940	1759	4016	0	0	0	580	0	0	0
PC100111	68149	21476	13900	12253	20520	0	0	0	4294	0	0	0
PC1001132	5395	1772	1067	703	1853	0	0	0	210	0	0	0
PC1001188	8607	2385	1810	2083	2329	0	0	0	954	0	0	0
PC1001204	6797	2115	1033	1357	2292	0	0	0	310	0	0	0
PC100124	6113	1712	1474	1271	1656	0	0	0	676	0	0	0
PC1001267	13783	4567	2385	2072	4759	0	0	0	740	0	0	0
PC1001269	6783	2118	1150	1372	2143	0	0	0	454	0	0	0
PC1001290	10313	2193	2873	2997	2250	0	0	0	1762	0	0	0
PC1001293	108466	23639	33823	29860	21144	0	0	0	17524	0	0	0
PC10012	6888	1686	1823	1754	1625	0	0	0	874	0	0	0
PC1001361	36232	10072	8045	7972	10143	0	0	0	2462	0	0	0
PC100137	8634	1512	2671	3120	1331	0	0	0	2324	0	0	0
PC1001450	10150	1948	3260	3010	1932	0	0	0	2032	0	0	0
PC100145	24460	6937	5255	5819	6449	0	0	0	2580	0	0	0
PC1001468	11795	3133	2975	2080	3607	0	0	0	1164	0	0	0
PC1001469	16110	4650	3545	3375	4540	0	0	0	1116	0	0	0
PC1001472	5556	1072	1823	1639	1022	0	0	0	1388	0	0	0
PC100153	55119	15520	12101	12349	15149	0	0	0	3778	0	0	0
PC1001555	192613	31342	66865	64602	29804	0	0	0	51290	0	0	0
PC1001603	5269	1222	1531	1579	937	0	0	0	1000	0	0	0
PC1001616	5795	2168	670	1168	1789	0	0	0	90	0	0	0
PC100164	5753	737	2258	2132	626	0	0	0	1838	0	0	0
PC1001676	7485	2312	1503	1244	2426	0	0	0	334	0	0	0
PC1001680	52157	13829	11646	12148	14534	0	0	0	5462	0	0	0
PC1001686	6635	2491	882	1155	2107	0	0	0	158	0	0	0
PC1001696	7330	1479	1940	2249	1662	0	0	0	1244	0	0	0
PC1001729	61351	16973	13893	13386	17099	0	0	0	6240	0	0	0
PC1001732	7268	1677	1828	1973	1790	0	0	0	830	0	0	0
PC1001753	7377	1153	2647	2532	1045	0	0	0	2104	0	0	0
PC1001799	6895	1164	2276	2181	1274	0	0	0	1650	0	0	0
PC1001846	13686	3783	2878	3094	3931	0	0	0	1270	0	0	0
PC1001865	5765	1546	1091	1291	1837	0	0	0	492	0	0	0
PC1001921	24191	7463	5106	4368	7254	0	0	0	1856	0	0	0
PC1001924	7927	1500	2442	2656	1329	0	0	0	2030	0	0	0
PC1001936	5145	1638	943	1252	1312	0	0	0	392	0	0	0
PC1001953	7150	2292	1262	1199	2397	0	0	0	296	0	0	0
PC1001965	55044	17059	11203	10603	16179	0	0	0	4542	0	0	0
PC1002028	8761	1264	3262	3047	1188	0	0	0	2414	0	0	0
PC1002050	10329	2484	2865	2552	2428	0	0	0	1676	0	0	0
PC1002068	56549	15520	11399	12780	16850	0	0	0	5198	0	0	0
PC1002080	6050	1140	1855	1796	1259	0	0	0	1316	0	0	0
PC1002091	19772	5650	4609	4267	5246	0	0	0	1972	0	0	0
PC1002107	15814	4661	2969	3068	5116	0	0	0	696	0	0	0
PC1002152	14459	3017	3646	4410	3386	0	0	0	3048	0	0	0
PC1002163	5227	931	1623	1782	891	0	0	0	1384	0	0	0
PC1002168	7210	2299	1446	1108	2357	0	0	0	406	0	0	0
PC1002170	5854	1981	1012	1070	1791	0	0	0	228	0	0	0
PC1002172	28725	6099	8346	7938	6342	0	0	0	4398	0	0	0
PC1002184	5215	1692	882	716	1925	0	0	0	262	0	0	0
PC1002196	5080	1388	993	1319	1380	0	0	0	592	0	0	0
PC1002212	5018	1625	924	951	1518	0	0	0	252	0	0	0
PC1002222	95612	14814	34013	32973	13812	0	0	0	27364	0	0	0
PC1002233	89891	24726	20473	17142	27550	0	0	0	6154	0	0	0
PC1002251	7507	2173	1457	1604	2273	0	0	0	584	0	0	0
PC1002300	70971	13738	20092	21956	15185	0	0	0	11504	0	0	0
PC1002319	19233	6825	2625	4178	5605	0	0	0	624	0	0	0
PC1002323	11480	3258	2139	2413	3670	0	0	0	864	0	0	0
PC1002328	9752	2979	2103	1794	2876	0	0	0	672	0	0	0
PC1002334	9775	2712	1906	1733	3424	0	0	0	572	0	0	0
PC1002364	6318	2034	1310	1065	1909	0	0	0	352	0	0	0
PC1002371	7418	2350	1516	1349	2203	0	0	0	450	0	0	0
PC1002372	15834	4449	3580	3929	3876	0	0	0	2148	0	0	0
PC1002429	6052	913	2216	2125	798	0	0	0	1630	0	0	0
PC1002440	6077	1754	1465	1158	1700	0	0	0	492	0	0	0
PC1002450	6445	1187	2011	2097	1150	0	0	0	1448	0	0	0
PC1002463	7523	2276	1649	1370	2228	0	0	0	600	0	0	0
PC1002466	13926	2874	3758	4259	3035	0	0	0	2642	0	0	0
PC1002472	5520	1147	1338	1515	1520	0	0	0	500	0	0	0
PC1002481	64393	22822	10048	10340	21183	0	0	0	3286	0	0	0
