Sample	Tool	accuracy_bp	accuracy_bp (unfiltered)	accuracy_seq	accuracy_seq (unfiltered)	adjusted_rand_index_bp	adjusted_rand_index_bp (unfiltered)	adjusted_rand_index_seq	adjusted_rand_index_seq (unfiltered)	binning type	f1_score_bp	f1_score_bp (unfiltered)	f1_score_bp_cami1	f1_score_bp_cami1 (unfiltered)	f1_score_per_bp	f1_score_per_bp (unfiltered)	f1_score_per_seq	f1_score_per_seq (unfiltered)	f1_score_seq	f1_score_seq (unfiltered)	f1_score_seq_cami1	f1_score_seq_cami1 (unfiltered)	misclassification_bp	misclassification_bp (unfiltered)	misclassification_seq	misclassification_seq (unfiltered)	percentage_of_assigned_bps	percentage_of_assigned_bps (unfiltered)	percentage_of_assigned_seqs	percentage_of_assigned_seqs (unfiltered)	precision_avg_bp	precision_avg_bp (unfiltered)	precision_avg_bp_sem	precision_avg_bp_sem (unfiltered)	precision_avg_bp_var	precision_avg_bp_var (unfiltered)	precision_avg_seq	precision_avg_seq (unfiltered)	precision_avg_seq_sem	precision_avg_seq_sem (unfiltered)	precision_weighted_bp	precision_weighted_bp (unfiltered)	precision_weighted_seq	precision_weighted_seq (unfiltered)	rand_index_bp	rand_index_bp (unfiltered)	rand_index_seq	rand_index_seq (unfiltered)	rank	recall_avg_bp	recall_avg_bp (unfiltered)	recall_avg_bp_cami1	recall_avg_bp_cami1 (unfiltered)	recall_avg_bp_sem	recall_avg_bp_sem (unfiltered)	recall_avg_bp_sem_cami1	recall_avg_bp_sem_cami1 (unfiltered)	recall_avg_bp_var	recall_avg_bp_var (unfiltered)	recall_avg_bp_var_cami1	recall_avg_bp_var_cami1 (unfiltered)	recall_avg_seq	recall_avg_seq (unfiltered)	recall_avg_seq_cami1	recall_avg_seq_cami1 (unfiltered)	recall_avg_seq_sem	recall_avg_seq_sem (unfiltered)	recall_avg_seq_sem_cami1	recall_avg_seq_sem_cami1 (unfiltered)	recall_weighted_bp	recall_weighted_bp (unfiltered)	recall_weighted_seq	recall_weighted_seq (unfiltered)	unifrac_bp	unifrac_bp (unfiltered)	unifrac_seq	unifrac_seq (unfiltered)
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	superkingdom	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	phylum	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	class	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	order	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	family	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	genus	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	Gold standard	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	taxonomic	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	species	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.949358428562889	0.949358428562889	0.9440926182465862	0.9440926182465862	0.0	0.0	0.0	0.0	taxonomic	0.4934198829703967	0.4934198829703967	0.0	0.0	0.949358428562889	0.949358428562889	0.9440926182465862	0.9440926182465862	0.492705724392574	0.492705724392574	0.0	0.0	0.05064157143711101	0.05064157143711101	0.05590738175341381	0.05590738175341381	1.0	1.0	1.0	1.0	0.949358428562889	0.949358428562889			0.0	0.0	0.9440926182465862	0.9440926182465862			0.949358428562889	0.949358428562889	0.9440926182465862	0.9440926182465862	0.9038104799659481	0.9038104799659481	0.8943494000945869	0.8943494000945869	superkingdom	0.3333333333333333	0.3333333333333333	0.0	0.0	0.33333333333333337	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.3333333333333333	0.0	0.0	0.33333333333333337	0.33333333333333337	0.0	0.0	0.949358428562889	0.949358428562889	0.9440926182465862	0.9440926182465862	0.9469792399148862	0.9448586163930226	1.045001437249057	1.0348645185387186
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.9319643210467982	0.9399256031830803	0.9280091102639005	0.9336040005941476	0.9749033271663212	0.9752882524013963	0.9637208330876885	0.9638983443055563	taxonomic	0.6223973224959795	0.8553084043096557	0.0	0.0	0.9581563680691847	0.9623926055654433	0.9537451658864239	0.9566960095385474	0.6301094011679662	0.8402872209853613	0.0	0.0	0.014136803882564886	0.014040034617845198	0.01905060972418482	0.01904068255124336	0.9453282409943857	0.9533101101308594	0.9460315888498292	0.9517255037876913	0.9792373663529192	0.9862408973863922	0.015003783754836733	0.00949134023419118	0.0	0.0	0.9774657161499343	0.9338327392603757	0.01670701233358562	0.03658668540815144	0.9858631961174351	0.9859599653821548	0.9809493902758152	0.9809593174487566	0.9874722079573304	0.987650715803832	0.9819124253843239	0.9819793678370383	phylum	0.4561672177440233	0.7550664341000684	0.0	0.0	0.10826238188645412	0.09132936379917432	0.0	0.0	0.0	0.0	0.0	0.0	0.46490043386373225	0.7637768383581143	0.0	0.0	0.10935817114914957	0.09112755527136716	0.0	0.0	0.9319643210467982	0.9399256031830803	0.9280091102639005	0.9336040005941476	0.9469792399148862	0.9448586163930226	1.045001437249057	1.0348645185387186
marmgCAMI2_short_read_pooled_gold_standard_assembly	LSHVec cami2	0.9349219068916028	0.9432841373002749	0.9332635983263599	0.9444037656903765	0.9901790384763599	0.9894090641061509	0.9778905714302372	0.9753540154374434	taxonomic	0.6407841122252871	0.7656912030916824	0.0	0.0	0.9588752467960694	0.9631565940328837	0.9569367726712072	0.9622958245623384	0.6427955036526609	0.7672435142427882	0.0	0.0	0.0159117375798582	0.016115611263589624	0.01815780785737864	0.01912108207941765	0.9500386729462401	0.958734733571413	0.9505230125523012	0.9628138075313808	0.929556266695537	0.8448252275864407	0.05257813956623831	0.06672173854565283	0.0	0.0	0.9225675347028419	0.8224565414055	0.0530367787147002	0.06748823805250397	0.9840882624201418	0.9838843887364104	0.9818421921426214	0.9808789179205823	0.9958284654443208	0.9955458274859946	0.9901214166564192	0.9891174292641519	class	0.4889033833323815	0.7001123084765839	0.0	0.0	0.08314388612934939	0.07752664727807441	0.0	0.0	0.0	0.0	0.0	0.0	0.49322361171030615	0.7189772435306698	0.0	0.0	0.08343033933245222	0.07646151023239595	0.0	0.0	0.9349219068916028	0.9432841373002749	0.9332635983263599	0.9444037656903765	0.9469792399148862	0.9448586163930226	1.045001437249057	1.0348645185387186
